name,c_smiles,nbo1,nbo2,onbo1,onbo2,cnbo1,cnbo2,angle,homo,lumo,dipoH_lig.logle,na,na_an,nb,bpa,estrada,wiener,global_eff,balaban,hosoya,zagreb1,zagreb2,global_simple,crest_flex,kier_a,kier_b,kier_al,0k,1k,2k,3k,1ka,2ka,3ka,1kb,2kb,3kb,1kal,2kal,3kal,k_phi,k_phia,k_xia,k_phib,k_xib,k_phial,k_xial,redu,0chi,1chi,2chi,3chi,4chi,5chi,0chiv,1chiv,2chiv,3chiv,4chiv,5chiv,T,Tnbo1,Tnbo2,Tenbo1,Tenbo2,t_vol,t_sur,t_ova,t_vol_nh,t_sur_nh,t_ova_nh,b_vol,b_vol_nh,bonh1,bonh2,bonh3,bonh4,bonh5,bonh6,bonh7,bonh8,o1,o2,o3,o4,o5,o6,o7,o8,onh1,onh2,onh3,onh4,onh5,onh6,onh7,onh8
001_lig.xyz,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)=N1,-0.32664,-0.32596,1.90664,1.90604,-0.53385,-0.53899,1.149214473023382,-0.23991,0.02756,0.8296,55.0,23.0,57.0,1.0363636363636364,58.635850221750175,1129.0,0.33316864295125115,1.7421519805079926,10.0,130.0,156.0,2.272727272727273,0.043701660185306024,-0.3947368421052633,-0.8307020315999262,-0.7272727272727273,16.938201511674155,17.8112,6.06375,3.3833141099577086,17.429007617273044,5.848036637216157,3.24275051906365,17.007355140327654,5.613018122202192,3.090600171558414,17.107344114035186,5.6684641554433215,3.1264006440145793,4.695768,4.43154239548401,14.677063203808283,4.150547504929901,13.985908597422739,4.216189865445337,6.256950605523917,0.45918448275275003,16.880468888623977,10.627793643276704,11.586119595754806,8.475303223238017,6.76357054248973,4.625409052549347,15.608264997426181,9.050163565951667,9.54337240831538,5.577240568847694,3.6563624910809263,2.193169591356999,445.4105204244824,46.47699802177234,46.476998021772346,4.978885582010582,4.978885582010582,419.6722271337142,404.59507859117355,1.4925526214410716,358.62482335330975,345.55484653634255,1.4155959097665143,97.76583264534253,88.47017097048968,2.0221552615192766,10.514932214856334,1.4329584023924338,9.646633559451322,16.936945790565282,15.220084648710907,17.62557069194397,15.222592293451898,9.47223178272672,36.488333110796006,4.711782040646774,33.754832346963525,109.83980365432569,63.33631956432741,91.87092546657846,67.24334802374273,5.365397878113636,29.365520764031793,2.1482388163755983,27.918535325173806,95.4842064351988,56.9699508885398,79.33997443748356,59.28777917317396
002_lig.xyz,c1ccc2c(c1)C[C@H]1OC(CC3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,-0.33453,-0.33453,1.90711,1.90711,-0.52714,-0.52714,1.3719300632592504,-0.24408,-0.00894,1.1288,43.0,25.0,48.0,1.1162790697674418,67.17870551900857,1594.0,0.31517258667258663,1.0565579987978244,10.0,150.0,186.0,1.94625,0.035470284956078305,-0.3947368421052633,-2.026188269509942,-2.285714285714284,12.28906069740454,16.0,6.269629629629629,2.6666666666666665,15.642560935672513,6.062556080859207,2.560062709756677,14.175570975622737,5.234224863322442,2.142016674822374,13.943853149719873,5.106686246718238,2.078901934197637,4.012562962962963,3.793356116830884,16.43599846418381,2.9679250420958603,13.92006457901856,2.8482753242373304,1.3301646294304539,0.6483665787896452,16.38010440969447,12.348469228349535,11.646617794716843,10.607454557015473,9.963170504816246,8.085803963644983,13.760447345762794,8.97269180378554,7.2306086672917,5.737422986862658,4.616709725496318,3.1422528477732996,1615.546847168689,116.48498252852717,116.48498252852718,4.826704302091207,4.8267043020912075,384.48913082268786,379.69106893378824,1.484876084533262,348.4149033768581,334.34838530587365,1.3963167784241473,88.31609126552274,83.27270760913774,9.02949222926612,1.3736449103849027,9.03011035927883,1.3741688024178487,14.418483291821591,16.88775213628775,14.418588057514787,16.887843281659954,47.38136859314353,3.0258222380802566,47.37157857456135,3.026831518346461,42.5795158706237,99.30459931223268,42.57759823811792,99.29460743759726,42.04863445060028,1.8099423013840306,42.04126670465699,1.8106487975703736,38.50474865187739,91.88558193141867,38.50323473147809,91.87569098480989
003_lig.xyz,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CC2)=N1,-0.32702,-0.327,1.90651,1.9065,-0.53782,-0.53782,1.3020061654294566,-0.24095,0.02509,1.1114,49.0,21.0,51.0,1.0408163265306123,55.48210835989199,925.0,0.345130385487528,1.6426525847059676,10.0,122.0,148.0,2.2654761904761904,0.05744179288605157,-0.3947368421052633,-0.9377447258858915,-0.7272727272727273,15.645734009671834,15.879017013232515,5.0,3.062381852551985,15.499025160168816,4.798959072913092,2.9216472954186306,14.977126699386568,4.527459216294618,2.7328846717086632,15.179299534284956,4.631989616570224,2.8053799718772865,3.7807183364839325,3.5418660673190683,12.430669015247169,3.2289681099404723,11.575634717392639,3.348112277600817,4.701584912696699,0.4365269393595975,15.466255326250884,9.627793643276704,10.879012814568256,7.5181964420514715,5.730322252025867,3.7593836487649104,14.194051435053085,8.050163565951669,8.836265627128832,4.620133787661146,2.6778091004876523,1.6407181410511738,387.4322419856421,43.44072984290575,43.440729842905746,4.858885582010582,4.858885582010583,383.08651486539304,376.81929401400316,1.4772401314124004,329.49764504778295,323.21011470291154,1.4009821723127855,97.7643258290073,88.72940537977155,1.560469279435437,10.646848228752182,1.55972252484417,10.64978202413668,17.327721826187144,14.912948902883313,17.331388625449012,14.911818089020699,6.026035724379087,36.84196819663274,6.017624828790371,36.84512961691524,90.58189043033721,57.15044778829262,90.5854597219485,57.13820139235216,2.8207301206756106,30.11273215338764,2.816988385399885,30.118851031353763,78.81403796767722,52.0487726936668,78.81097857486755,52.03545447140596
004_lig.xyz,CCC(CC)(C1=N[C@@H](C(C)C)CO1)C1=N[C@@H](C(C)C)CO1,-0.32393,-0.32386,1.90309,1.90389,-0.54841,-0.55036,1.0751170353390043,-0.23628,0.02068,0.6906,51.0,21.0,52.0,1.0196078431372548,51.61461450999035,890.0,0.34338057445200276,2.1031958977953886,9.0,108.0,130.0,2.2964285714285713,0.06353690807388371,-0.3947368421052633,-0.8673967230041418,-0.7272727272727273,14.816430236840807,17.355371900826448,7.05078125,3.347107438016529,16.966974092392785,6.793999161266892,3.1958022253429057,16.50220842743151,6.490281158837981,3.0186269252801488,16.63995643482823,6.579886548011212,3.0706935180489308,5.827091942148761,5.489219416807318,15.921715722601856,5.100189163608384,15.16935969274206,5.213763119286613,6.884326872021749,0.4663938880619636,15.620955864630135,9.940724679885342,8.96841512055285,7.774592559489433,6.026190224541505,3.7506648124369804,14.348751973432336,8.363094602560308,6.902455210039067,4.912748040486244,2.9317563225767254,1.652545475674498,335.93266293374006,40.26601622006656,40.26601622006656,4.849800642479216,4.849800642479215,392.6096974163887,386.1997276577671,1.4894313488067368,335.4517392700489,330.87708126871667,1.4171936453250142,97.09125759894522,87.89628996286586,1.8687489342903294,10.022159368667149,0.811709438641364,2.077127132225043,19.679816404135256,19.973879765150908,18.277632366397178,15.32496127447998,13.006421781311039,31.56526776753116,2.4448330493848847,12.19403367535781,91.93129810386722,105.68455740099678,71.75910836725447,61.21092182266349,9.92007748861021,24.560400535030016,0.9240911232453601,8.273325584388166,80.3752616160048,93.21691191652383,62.14874416014347,53.622015777646176
005_lig.xyz,CC(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,-0.32938,-0.32914,1.90717,1.90717,-0.53902,-0.54022,1.2888789704872077,-0.243,0.02863,0.7376,48.0,20.0,49.0,1.0208333333333333,49.70968588082996,845.0,0.3460213032581453,1.8908343895107864,11.0,108.0,125.0,2.2723684210526316,0.08110815404288085,-0.3947368421052633,-0.8638862345431016,-0.7272727272727273,14.201823646187881,16.3718820861678,5.652892561983471,3.814404432132964,15.984092332777992,5.424321720705094,3.6394314238600125,15.523544628614674,5.156822612501437,3.435822453458322,15.657613355294792,5.234242845034355,3.494619003839706,4.62742452352842,4.335142961322171,14.126929595508093,4.0026082983507685,13.409443157583148,4.097787533763307,5.4934256637830465,0.4542084466338544,15.129392033067415,9.087353528756822,10.131278784024744,6.883002674544356,4.945943732992149,3.3285014572001215,13.857188141869614,7.497757323144373,8.042016889590084,4.084517993768223,2.2514193914225573,1.3897408030068892,319.02453153525033,38.94958828399642,38.94958828399643,4.724626322751323,4.724626322751324,372.3548141260882,369.3069623540175,1.4754756794554218,318.2376854435157,315.41282552869603,1.3992462543228896,97.73737145831808,88.55258393319411,1.8134220621749713,10.729308834737912,1.4604065016340493,10.223648244538253,17.018348734178737,15.00240795026966,17.439402055134305,15.03011346218416,7.828411807181379,37.11038673246153,5.296467154069572,35.580853215663936,91.41606460119888,58.342870996993135,82.89500276554244,52.03789963622943,4.011487143337505,30.132160288582256,2.383255803379294,29.37429074014614,78.9339350714309,52.791691577043174,71.45095750801887,47.381777886625265
006_lig.xyz,CC(Cc1ccc(C(C)(C)C)cc1)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,-0.33082,-0.32618,1.90392,1.90807,-0.55981,-0.54601,1.1339316945415223,-0.23504,-0.00313,0.8691,73.0,31.0,75.0,1.0273972602739727,77.86266833293345,2648.0,0.27374901084578435,1.7433127856435582,18.0,172.0,202.0,3.201344086021505,0.05683956645206109,-0.3947368421052633,-1.3985600838660086,-1.5064935064935057,22.035258778493017,25.619834710743802,8.98184407262371,5.925925925925926,25.232399390152647,8.753917024597973,5.756135624893967,24.24794228297991,8.183286093362469,5.333551106656472,24.14216254622198,8.122715286078318,5.2889110891338795,7.4230116302675295,7.125236470739122,22.67340437691831,6.4008983508698485,21.12707468081033,6.325803637199506,7.874473707923837,0.5233786664596901,23.242276208189775,14.104156839597557,15.93946710012603,10.97999223553353,8.255352186915749,6.012682282317937,21.296345730625035,11.621530770997586,12.709965747484144,6.623051993135475,4.012236814329848,2.5950014140273994,670.5497903656493,54.71459242130044,54.71459242130045,5.049779069035022,5.049779069035023,565.2597681623932,522.9887465602218,1.5818895926916223,487.9058930326078,454.0720945128814,1.5150139988423554,104.27052054827868,93.99355282474863,2.9836692360089065,10.120022400421497,1.0610471340422993,5.9416691024558865,21.521597290524625,18.458104102761652,17.76208039017863,16.30590129534475,16.40032698446925,35.41270208269948,3.2120576293869476,52.32664925286929,221.04370622868348,73.09309899193114,86.31227184714936,77.49353667199934,11.708212437858462,27.682010918828386,1.3836339833581983,41.07045067251835,199.0888764389404,64.7548731094789,74.14712908585267,68.09857162256172
007_lig.xyz,c1ccc([C@@H]2N=C(c3cccc(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)n3)O[C@@H]2c2ccccc2)cc1,-0.34779,-0.3478,1.90779,1.9078,-0.51189,-0.51191,2.545559303509106,-0.24078,-0.05719,1.929,67.0,40.0,73.0,1.0895522388059702,103.15592399023954,5467.0,0.23543013966090842,1.0237289378370247,19.0,220.0,264.0,2.8543269230769233,0.0221749453636874,-0.4605263157894739,-3.7685471700913955,-4.6883116883116855,17.77906071665541,28.752362948960304,13.7490234375,6.59604938271605,28.318251130942055,13.452249447366798,6.42258072667239,25.21591951551728,11.379797604029115,5.236831318479075,24.358849421630527,10.823178069635688,4.926470266936906,9.882922801719046,9.523604453165238,32.4348608185563,7.173801512151864,27.41594699590007,6.591004121543738,10.764914657322688,0.722559379597293,26.72719310349884,19.83163247594393,17.397512410808652,15.509523644214331,13.60028080261656,11.569198668613225,21.746594635547495,13.498596332743181,9.885884073866855,7.289137090529891,5.329462940477535,3.7650359918559455,2435.905967364924,113.84516748088792,113.84516748088792,5.030396706534873,5.030396706534872,618.9893543275562,587.6086552391929,1.672946065012409,566.9194657860884,529.4755616441566,1.5983831124440369,98.1249237422536,92.61212362932383,5.423919610672649,11.039976810275,5.421732946382018,11.040605480714536,15.34618350507403,14.542018590476932,15.34670733354001,14.542786818620598,32.79588951261726,98.73643449603735,32.79283266434482,98.73805865924905,126.95500780473658,48.8492449482808,126.96465126272486,48.85797622404424,28.48210210852048,91.43541481866002,28.477842009969432,91.43490726765637,116.86175863386994,44.68855360587591,116.86876282967195,44.69453534106178
008_lig.xyz,CC(C)(C1=N[C@@H](c2ccccc2)[C@@H](c2ccccc2)O1)C1=N[C@@H](c2ccccc2)[C@@H](c2ccccc2)O1,-0.33394,-0.33394,1.90009,1.90008,-0.52946,-0.52943,1.1787563037265063,-0.23703,-0.01478,1.2784,67.0,37.0,72.0,1.0746268656716418,95.03888448191626,4166.0,0.25145215145215055,1.1938973964999409,18.0,204.0,246.0,2.763888888888889,0.024698188856539235,-0.3947368421052633,-3.092982171053621,-3.84415584415584,20.196683903215302,27.183673469387756,12.25,5.8979591836734695,26.808677277414127,12.001327657989764,5.752565400792002,24.255529495443064,10.344971579630464,4.8020905436191645,23.548203888017255,9.89803626220403,4.551269065193719,9.0,8.695668110366267,27.66810525082095,6.781696304844512,23.51228454405166,6.299485837658614,8.420877881472283,0.6519221262600765,25.24406544037339,18.109322916611433,16.405801924250127,14.452332685796396,12.17147591259162,10.260242147045602,21.067330232478664,12.80736580138693,10.102816429836706,7.171135981350703,5.112371260002519,3.7258326136079862,1597.651140000751,84.42396120354962,84.42396120354962,5.161527462836987,5.161527462836986,593.8864007799931,561.8526145725039,1.6443819259112766,535.7820650401928,498.0261762366624,1.5611426816958809,92.80349536249287,87.74136981673848,1.3490116507824212,8.046772069240255,1.348309302441192,8.050334535064291,20.16812930012279,14.360795930080704,20.167919768736397,14.360157203541844,3.5969766172798905,62.652737597582046,3.5965748224336402,62.671241004039054,165.71554768976728,63.36112153783118,165.7169710292076,63.347316280645046,1.9635954320560713,56.63262380667241,1.962988089991766,56.650923878992536,152.96140963322352,54.883312341755506,152.96222297004658,54.869402545901025
009_lig.xyz,c1ccc([C@H]2COC(c3ccccc3P(c3ccccc3)c3ccccc3)=N2)cc1,-0.34553,-0.31633,1.90002,1.87114,-0.53544,0.86543,2.50036622676932,-0.19469,-0.04443,1.2126,52.0,30.0,56.0,1.0769230769230769,76.3499571063847,2370.0,0.2822150582495401,1.3019145390465683,15.0,160.0,190.0,2.3235632183908046,0.02985075607418651,0.21052631578947367,-2.066991047346026,-3.0519480519480484,12.377351448210451,21.825259515570934,10.744801512287335,5.16796875,22.025082528807225,10.88629076283987,5.252267783136959,19.870453816457797,9.384449412151474,4.371557069432618,18.943937794239336,8.755704553620824,4.012581004184577,7.816936048299004,7.99238174947133,26.42054582626704,6.2157756212346795,22.991999115272524,5.528917413617699,9.726979901501979,0.7206875330723497,20.175151339621046,14.898979485566358,12.716998670030316,11.193310539518173,9.848923722173959,8.201213982115558,17.45121483744276,11.493390648890875,9.3808168343778,7.740364156339627,6.239287257793601,4.692069114255822,879.2038625597636,65.01165555129448,35.12695458291277,4.963731418493324,-0.712245189571027,488.48665177865024,451.3289538428154,1.5046677189535789,447.1210144177146,406.6576264826846,1.4381187294747586,93.9914976552954,88.79356150286083,0.7494276313807579,9.817631919004958,0.6935359426698283,2.5275695021521742,17.230708794287455,15.207828549713012,21.67329801427274,20.9390145022021,3.701267041448806,36.38450714490276,1.5445447947229052,17.80667968888523,114.74296167785076,69.52935442038125,113.39340193468156,128.90860703261646,2.3001461625189314,31.123352015149457,0.7226562743358459,13.964240032014768,108.48058298787939,63.920176644561074,105.55547976346784,118.66209522279804
010_lig.xyz,CC(C)(C)[C@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2)=N1,-0.34831,-0.31325,1.88847,1.84796,-0.55504,0.87845,2.9244843804784146,-0.19589,-0.04411,1.1846,54.0,28.0,57.0,1.0555555555555556,70.70491346104912,1904.0,0.2957257762813308,1.5222893131635966,15.0,150.0,177.0,2.2724867724867726,0.03313846264060162,0.21052631578947367,-1.5211324183641772,-2.2727272727272707,16.778784725286073,21.240374609781476,9.427685950413224,5.023781212841855,21.44286879365803,9.563944683136413,5.111287902269923,19.780536135304146,8.460906708428254,4.410500053628125,19.061514034755508,7.99524658348188,4.120096509969012,7.151699331791092,7.324228963939193,20.995664959760063,5.97718824583937,18.371787491694093,5.442910891513246,6.208201496748591,0.5859178481968754,19.56226716449868,13.53782470590011,12.621777747132295,10.06099809732258,8.565456690112772,7.067744712776954,17.564463491494628,11.082707046367918,10.336158635639283,7.555688976348812,5.836987802119851,4.3936946432668265,642.9995661473849,58.248773059605924,28.363247337508827,4.964749937011842,-0.6860877530024352,478.83784328530817,446.7868503938053,1.5094681282130817,431.05469786507996,401.9507286123241,1.4565780934765098,82.12097237127148,77.32879795894536,0.912998175646049,0.3762592580619516,0.09753503967154233,3.78532949484938,18.29533776854734,16.468530698770007,17.5970744233946,19.98783168769554,4.087233758961346,2.529713492152185,0.8424163107159164,25.094284388188576,112.86392525687644,80.29192512417275,119.73876293391126,131.84730967997234,3.6739798962742714,0.3979462173037077,0.11060795552520027,20.686060675379657,105.86327609124355,73.3368275099531,105.16360911856147,120.67421527975551
