name,c_smiles,nbo1,nbo2,onbo1,onbo2,cnbo1,cnbo2,angle,homo,lumo,dipole,na,na_an,nb,bpa,estrada,wiener,global_eff,balaban,hosoya,zagreb1,zagreb2,global_simple,crest_flex,kier_a,kier_b,kier_al,0k,1k,2k,3k,1ka,2ka,3ka,1kb,2kb,3kb,1kal,2kal,3kal,k_phi,k_phia,k_xia,k_phib,k_xib,k_phial,k_xial,redu,0chi,1chi,2chi,3chi,4chi,5chi,0chiv,1chiv,2chiv,3chiv,4chiv,5chiv,T,Tnbo1,Tnbo2,Tenbo1,Tenbo2,t_vol,t_sur,t_ova,t_vol_nh,t_sur_nh,t_ova_nh,b_vol,b_vol_nh,bonh1,bonh2,bonh3,bonh4,bonh5,bonh6,bonh7,bonh8,o1,o2,o3,o4,o5,o6,o7,o8,onh1,onh2,onh3,onh4,onh5,onh6,onh7,onh8
ADALIB_Complex_23_Ligand_0_ON_Cu.xyz,[H]N([H])C([H])(C(=O)[O-])C([H])([H])C(=O)[O-],-0.27722,0.02803,1.97867,1.96293,-0.82745,-0.75102,1.4657769436962709,0.14409,0.35393,7.1779,14.0,9.0,13.0,0.9285714285714286,19.662617831790563,96.0,0.499074074074074,3.3766005151771443,6.0,36.0,36.0,1.7256944444444444,0.3506567080393017,-0.5921052631578947,-0.7935671536222721,-1.0779220779220782,4.748578855483086,9.0,3.92,4.5,8.407894736842106,3.4366922330521894,3.9478592128634213,8.206432846377728,3.275078288825459,3.761492483408909,7.922077922077921,3.0496689291144,3.4999390853049386,3.92,3.210594059825072,8.119351405337706,2.986301115986201,7.902794353863462,2.6844127658871337,3.4056342290034385,0.44707989047620333,7.439157588755425,4.0365812602091875,3.850849930561872,1.9812607321322002,1.0157355747428491,0.5443310539518174,4.494800481421251,2.200306729913009,1.5016612791830406,0.6893292996350113,0.2628917115316043,0.06804138174397717,81.93922097977604,15.416961795790405,10.46563602586975,9.707546296296297,4.734537037037037,138.99543110806252,155.66951822465768,1.199644149237677,132.89098132347561,149.1300171677871,1.1841787708156521,57.318396347715634,54.88118632727725,0.26741321522423017,0.25691665295681015,0.25688068450550133,0.2673944936157339,13.929332270288485,13.284982795821017,12.657895817659282,13.909503173447911,0.26351812807979713,0.2527123557097939,0.2527123557097939,0.27310060546451703,32.90081077708263,25.5186257671289,24.71880566902388,53.491383117018984,0.26351812807979713,0.2527123557097939,0.2527123557097939,0.26351812807979713,28.405713280884548,25.278248502355662,24.71880566902388,52.159012103199565
AFEHUP_Complex_1_Ligand_0_ON_Cu.xyz,[H]c1c([H])c([H])c(C2=NC([H])(C([H])([H])C([H])([H])[H])C([H])([H])O2)c([O-])c1[H],-0.46124,-0.17937,1.98022,1.90831,-0.72905,-0.5705,1.5847544927036725,-0.01609,0.13706,8.1963,26.0,14.0,27.0,1.0384615384615385,34.42446273544929,302.0,0.4265175300889588,1.87785831543541,7.0,70.0,81.0,1.3571428571428572,0.07264599603649977,-0.32894736842105265,-1.1618635375574158,-1.337662337662337,8.968645031881621,10.515555555555556,4.68,2.3431952662721893,10.197760186526764,4.460438432632626,2.205667087596587,9.395360605942464,3.9184715196026896,1.8731995917002935,9.226459595573651,3.8067853513828736,1.8060035312118603,3.5152,3.2490343901967735,9.22120825357532,2.629675210770187,7.948876588303014,2.5087965166825517,1.1317098106773185,0.44105939097967883,9.966255326250884,6.808861750289881,5.77300142430908,4.942462867354638,3.918557017385626,2.7395858891583655,8.06467508474891,4.779682743859716,3.30348745747395,2.3009857494927735,1.4152440965883124,0.8550832021061168,212.92304293015658,29.655383479430157,32.837870652929794,11.440369897959183,4.332037037037036,224.90231878088912,232.95590679487407,1.3025477317184435,210.5465037043198,216.53241856097242,1.2651444450698461,65.18018140431695,63.74448510211519,3.2633423831223354,0.4759035227283164,0.47583689601304535,1.2058946814355334,15.24665609653763,14.002331222637991,12.15460142754469,16.802448481723534,16.548713006813564,0.4642715111983883,0.4918678371751788,2.3909067705472844,51.5346267011337,63.38732129074404,26.04227543038921,63.36581767909002,13.679640281340463,0.4642715111983883,0.4918678371751788,1.4639906303623291,48.91160134728582,60.60240163036888,25.591631933730206,58.65640220314259
AGOROE_Complex_18_Ligand_1_OO_Cu.xyz,[H]c1c([H])c([H])c(C([H])([O-])C(=O)[O-])c([H])c1[H],-0.26508,-0.29251,1.98011,1.98642,-0.80905,-0.92312,1.5127757446351247,0.19628,0.27324,12.2383,17.0,11.0,17.0,1.0,25.75424462903935,156.0,0.4748484848484852,2.320588019062653,6.0,50.0,55.0,1.4931818181818182,0.12546912502116353,-0.39473684210526305,-1.080600084755957,-1.493506493506493,5.097741986742407,9.090909090909092,4.13265306122449,2.5,8.69955596186496,3.842586803836021,2.2813691613242923,8.02021246525155,3.3514712798451822,1.9185352791772978,7.611684763324109,3.064458027628029,1.7112745056046637,3.415415753078091,3.038981721663207,10.02000077566322,2.4435919759588085,9.024147664583396,2.12051713424932,4.610420904173544,0.5549891061185596,8.267584713501616,5.21521405516327,4.501223788608127,3.444966808154417,2.204281269194211,1.535724305705682,5.688846486529345,3.131984422571964,2.109759023944731,1.3163980966291644,0.7639141472835779,0.43608401648987927,124.98595914589069,19.208864980857506,19.56266107014249,10.076114890400605,10.765740740740739,171.89854123101483,184.84430704797916,1.2363473268264358,164.1079130358892,175.73697173064565,1.212344366970081,54.77277211061707,54.04073727325667,0.3796387455945869,0.35677047443635346,0.3567205264034389,0.37961216707280715,13.819013995352877,12.807413946834659,12.732069928442199,13.116222154652016,0.4258811001431089,0.40183536829000166,0.40183536829000166,0.4258811001431089,88.96397614914808,24.36385990381657,21.132073298856273,35.791619119444974,0.4258811001431089,0.40183536829000166,0.40183536829000166,0.4258811001431089,85.07168649140264,24.21083246386437,20.995847688274235,32.18143921950754
AKEXUJ_Complex_0_Ligand_2_NN_Cu.xyz,[H]c1nc2c(N=S(=O)([O-])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],-0.19325,-0.20986,1.92629,1.88851,-0.43034,-0.93295,1.4023320851098815,-0.06124,0.07826,8.3261,34.0,21.0,36.0,1.0588235294117647,52.69376118593586,922.0,0.3432201264344121,1.6048191481229155,10.0,112.0,131.0,2.1800595238095237,0.048606668899143,-0.013157894736842257,-1.710658812667058,-2.3766233766233746,13.067635185076284,15.879017013232515,6.629935720844812,3.673469387755102,15.866342788255901,6.621679797061582,3.667985433691662,14.23603588791308,5.584214774172885,2.989680438190026,13.599317876731446,5.193037518271091,2.739907883014887,5.013183909901559,5.002944833059421,14.997064957743856,3.785575330044744,12.414756152559848,3.36294133127434,5.715197139491352,0.5293758420975745,14.8720327201867,10.060480075219147,9.548875651252171,7.63251522230016,6.20907504464484,5.071821343012804,12.20917133521549,7.88623342061177,6.335777181503981,4.453727846615676,3.04589734353227,2.2509467716067384,422.9300478437802,49.41307513158076,35.34358703185195,4.214916120769295,3.92874149659864,321.7222683464735,317.09714763687214,1.3965424124160948,306.9638760451657,300.86717061529845,1.3672014092465312,68.3245937576026,66.99466249293368,1.227145832088934,1.1278347685265515,1.0170463642656635,2.87847238581953,14.920834790697418,14.37818492524011,15.149643064637939,16.211076394801854,2.4636057418319206,1.6583508137803435,1.6691422189492249,6.125271211026636,53.932306336168715,43.21605223755399,59.46659673877458,151.03426130826276,2.4287938109263916,1.220656945669892,1.09016423740372,6.125271211026636,52.51091896846616,42.41109903614977,56.80683936853196,142.2778361673952
ALIPER_Complex_2_Ligand_0_NN_Cu.xyz,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],-0.26595,-0.31697,1.95726,1.9327,-0.82367,-0.53245,1.459332931590966,-0.21591,0.06959,1.8578,28.0,10.0,28.0,1.0,25.92769629855789,121.0,0.5007407407407408,2.310803777533044,6.0,54.0,60.0,1.8472222222222223,0.22065451765515953,-0.13157894736842124,-0.22442150283050144,-0.07792207792207795,6.387640052032225,8.1,1.9930795847750864,2.6508875739644973,7.969754385964912,1.92962368794448,2.567920469244925,7.877874233456567,1.8853247308397239,2.509866672261988,8.022863262392057,1.95540558143183,2.6016567205931107,1.61439446366782,1.5378626850257306,6.9839482506526736,1.4852351118780698,6.8582417426189215,1.568795160234581,3.3453299057318873,0.3612359947967775,7.99156383156272,4.312278496709086,5.654413082910465,2.372192081595569,1.3763357668642673,1.1897227048854204,7.4387774270626785,3.8518442455650153,4.657077785086684,1.7706652951140576,0.9854380292873395,0.8074747779961244,76.4715440687042,12.07498876964514,18.97021386469575,5.855833333333334,2.3958333333333335,201.45002045168084,216.5026249490958,1.302769246314604,176.1159826825822,188.52146730020087,1.2407306378623528,74.96075530330998,68.76217675243763,3.2773836726364602,0.37814526938055787,0.3780923288663762,0.8170620145828734,18.44599083536349,17.10605735262633,12.738774932806756,15.6396122980494,9.339147927092096,0.3723927136930238,0.46328657950765206,2.6233498818220715,49.12421725412702,48.85295287343237,29.150608514393067,60.22583191884721,8.212641901344604,0.3722902390882651,0.3722893482307675,1.5030975026002402,43.26370161984205,42.319810371549124,24.98307379974479,53.88315866856384
AMIMOY_Complex_12_Ligand_1_ON_Cu.xyz,[H]c1c(C([H])([H])C([H])(C(=O)[O-])N([H])[H])n([H])c([H])[n+]1[H],-0.56179,-0.24807,1.97882,1.94788,-0.7228,-0.70386,1.4487126101450398,-0.1294,-0.09903,22.9635,20.0,11.0,20.0,1.0,25.82580777329796,165.0,0.4654545454545456,2.1785612790742706,5.0,50.0,54.0,1.6795454545454545,0.11236557627661681,-0.4605263157894739,-1.0008822399318025,-1.0259740259740258,7.388472025766576,9.090909090909092,4.13265306122449,2.8444444444444446,8.634355082462712,3.7947490277229137,2.565128359585723,8.099126583245932,3.4076608084926554,2.249495881759997,8.07428639069264,3.3899484029614158,2.2351740717581774,3.415415753078091,2.978655504926343,7.315109779573126,2.509006930977108,6.560285258965291,2.4883103868346916,1.5247050934281634,0.35501825138359167,8.267584713501616,5.198377302757663,4.607485534605133,3.317934416066091,2.044014181516479,1.1274760152418188,5.833004438872777,3.196758977828398,2.2545705876397557,1.341037548311406,0.7563979465210043,0.3391551744622986,117.09225075445472,17.978285495328343,13.045552528915106,10.165312736205594,5.211759259259258,175.32415567207016,193.76947324015813,1.279106571292407,162.70481509283678,179.06624806482856,1.2424035179039323,54.29519705581873,51.63940724337641,0.19448233834489465,0.2287312615843053,0.2286992391009419,0.19446872262962467,12.00174828117142,12.156897923100225,13.030337856971808,13.567504858119712,0.19093229012987664,0.2244191544774675,0.22441541952618121,0.1909298539003022,45.44142878124356,20.450016756529696,24.607113408664546,82.79653205875358,0.19093229012987664,0.2244191544774675,0.22441541952618121,0.1909298539003022,40.571974983478164,20.341383444686485,24.223728026939572,75.49362235077305
ANOPOL_Complex_2_Ligand_0_NN_Cu.xyz,[H]c1c(-c2nn([H])c(C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])c2[H])nc(C([H])([H])[H])c([H])c1[H],-0.31129,-0.38038,1.92392,1.95137,-0.48191,-0.27762,1.3941939392446148,-0.23141,-0.02355,3.2409,45.0,22.0,49.0,1.0888888888888888,58.566693615898494,1016.0,0.3489692846835703,1.2897029241624045,10.0,132.0,162.0,1.7113095238095237,0.03937659822896801,-0.19736842105263186,-1.2934287487273326,-1.4675324675324668,12.18624893382975,14.35207100591716,5.25,2.423469387755102,14.171553761403274,5.149208998522535,2.3678549313830666,13.173627209505769,4.6028842012026985,2.070350445205961,13.015860982776514,4.518246956031237,2.0248797643459646,3.424926035502959,3.3169223705119824,13.78900365759373,2.7562127525076408,12.090655039975827,2.6731306484343516,0.21411873372522194,0.587372580934117,14.7338400397525,10.700239846783264,10.581840765047914,9.068439426132914,8.587567681422579,7.064997244857288,13.178519762446584,8.700689182000422,8.028954035016291,6.338207512401432,5.8508318867083835,4.664720018120359,821.1129348256814,81.25635693255629,67.0362648076865,4.620609882842026,4.5972302532123965,347.60487816108844,337.35193328205077,1.4110481612470582,316.0486626914363,301.0295445891336,1.341597866890777,64.23212765267914,62.44965001114383,0.1047857426427234,3.381932629480816,2.7882868752503747,0.10477840658923743,14.053374851032798,14.464501383139815,14.54923087693046,13.018777781718429,0.12051577145878223,8.405861439769962,7.299382039128739,0.1589629127479367,160.12691991941577,49.51892346005528,47.13387803152401,72.39921664512958,0.10276302734658786,7.285512742649214,5.748916399686815,0.10276287850265467,144.124078108708,46.97026797242264,45.12113399588397,64.35896208940105
APOFUI_Complex_5_Ligand_0_NN_Cu.xyz,[H]c1c([H])c(C([H])([H])[H])c(N=C2C(=Nc3c(C([H])([H])[H])c([H])c([H])c([H])c3C([H])([H])[H])C3([H])c4c([H])c([H])c([H])c([H])c4C2([H])c2c([H])c([H])c([H])c([H])c23)c(C([H])([H])[H])c1[H],-0.32385,-0.32778,1.85952,1.85596,-0.42724,-0.42232,1.4095449163673224,-0.22011,-0.05709,3.6907,62.0,34.0,67.0,1.0806451612903225,88.28682023361,2943.0,0.2777799641435999,1.3546599850864187,16.0,194.0,241.0,1.624108734402852,0.026498605995498938,-0.13157894736842124,-3.0154480792260783,-3.7662337662337624,16.968398223806197,24.34319526627219,10.045184304399525,4.292049756625203,24.21914662171638,9.968198308860947,4.25175816318181,21.513355217052318,8.332001981154344,3.413949028328808,20.81342983487102,7.922876190681139,3.2102952220813603,7.192114206108536,7.100625188136721,27.21813685644475,5.272038773228148,22.64436318196963,4.8500655201503555,9.868979117222164,0.6741251019255592,23.39661226763952,16.541713895658194,15.276798900426533,13.916119338708233,12.487147851168656,10.985769890800889,20.13203149803393,12.01921240866063,9.598778503453708,7.388843760347136,5.741942944650544,4.268708798781114,2351.033408641536,106.97529775212105,106.97529775212105,5.420388794406651,5.420388794406651,522.3692137490801,485.5627384474557,1.548018614173544,491.44897718600345,457.1407508009824,1.517912913565012,86.44674934469845,82.20019381313017,1.0894573662563953,4.68537600745093,0.5975723590617372,2.9690009291126316,19.40051106607416,16.408402486592298,19.40658747627954,17.71790169282111,3.82352394342581,16.35846427677636,1.5919005324319186,10.66192135380723,128.25668906673263,119.09619275191295,117.13617634432158,122.89487294196297,3.725626361166832,14.215963264614357,1.5919005324319186,9.44566422098494,121.30518066818883,112.0925841409736,111.07013556512011,115.41451539408864
ASOXIQ_Complex_0_Ligand_0_NN_Cu.xyz,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C1([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C([H])([H])N1[H],-0.27895,-0.2681,1.94408,1.9274,-0.68537,-0.67454,1.8076679249487313,-0.20894,-0.00165,0.6982,43.0,21.0,46.0,1.069767441860465,53.78084276519178,900.0,0.34881519274376416,1.4121144619417256,10.0,114.0,136.0,1.6803571428571429,0.042477215093618695,-0.13157894736842124,-1.369714884430441,-1.636363636363635,8.0143741157936,14.583333333333334,6.629935720844812,3.062381852551985,14.460020872238726,6.547519335260886,3.015144492576096,13.304101787120317,5.7880458065959886,2.5867804421531164,13.05627963153246,5.628429474327397,2.4984119615939036,4.604122028364453,4.508441249964716,17.890523136107756,3.6668928837841883,16.007049016293916,3.499349957294178,2.376223913636592,0.7113664396089168,14.070703332935969,10.415816237971963,9.034451523298854,8.051899001459917,7.117486651268252,6.0526974112969025,12.309036597828996,8.040111220059323,6.146749710142994,4.9025744183368145,3.8419790350883383,2.8841493821117705,546.633906297144,49.844170260495694,49.84417026049571,3.71339734504913,3.7133973450491307,340.4403296226112,326.2858562321282,1.3838428975666401,310.9213195563992,296.5292295693962,1.3360305325669146,88.39419460316725,80.79893515904621,0.5008758498322179,7.669360248705823,1.861127797814124,2.5512494220413418,18.387636344253202,14.10415112200512,21.364343985037113,14.327151851419178,0.801827186758126,16.78334652458572,2.9760453293487843,4.456573811936427,91.41010996529297,28.476684813070428,117.8710106866,77.69193421071186,0.5584926032970914,13.847639007542796,2.2746100046386584,3.058934001019678,85.12998537659688,23.6775916722027,111.10220507001894,71.2915003364352
ASUBOF_Complex_0_Ligand_2_NN_Cu.xyz,[H]C1([H])N2C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C43[H])C2([H])C([H])([H])C([H])([H])C1([H])[H],-0.26957,-0.26517,1.92294,1.92133,-0.5615,-0.5632,1.5660637241212891,-0.1888,0.07501,1.1222,43.0,17.0,46.0,1.069767441860465,44.66442552620832,458.0,0.4134103641456581,1.5611579447848867,8.0,98.0,120.0,0.8636948529411765,0.05139705399069882,-0.13157894736842124,-0.26396738787776897,-0.07792207792207795,6.452012170050368,10.88,4.280618311533888,1.7777777777777777,10.760071418843586,4.209372466490042,1.741063402493171,10.639550962918316,4.138117129428686,1.7044942768471374,10.808960049739666,4.238374893020122,1.7559909108118772,2.7395957193816884,2.6643028451733315,13.327067265143631,2.589865181710691,13.122595478939125,2.69484852320436,4.655521523149681,0.691551497135781,11.242276208189777,8.415816237971963,7.644048724524087,6.963236893556283,6.357406995882407,5.664838389618847,10.982002860810441,7.897465253011519,6.871992998201288,5.960307085357099,5.252474802744229,4.513019823351438,448.5876142734958,54.64732797734364,54.64732797734364,2.8693244520030223,2.869324452003023,290.47526073653216,278.84735272878174,1.3146484524698587,257.1358215527236,241.30226777591503,1.233963245376753,107.62030950399924,100.54204267347797,6.222282183867559,2.5880266427541643,7.134305764331214,2.3911480167729873,19.086737814951512,22.031123596088197,19.190560616908954,21.942062870044275,19.116011255620023,4.649494467452742,21.37352696399566,4.428133526842165,46.900976335564735,73.02420983654575,46.80655745869273,74.25135033100494,15.423511561716037,3.712216875941842,17.5223750991582,3.463922671207388,41.48169868896392,66.42840590504684,41.55314806511141,67.61265644682574
