Filename	Metal_coord	Biting_Atom_1	Biting_Atom_2	Smiles_Regen
075_lig.log	[0.000231, -1.014693, 0.001343]	3	7	CC(C)C[C@H]1COC(C2=N[C@@H](CC(C)C)CO2)=N1
076_lig.log	[-0.11273, -1.01502, 0.034921]	3	7	CCC(C)[C@H]1COC(C2=N[C@@H](C(C)CC)CO2)=N1
077_lig.log	[0.211926, 0.655025, 0.822689]	3	7	CCCC(CCC)[C@H]1COC(C2=N[C@@H](C(CCC)CCC)CO2)=N1
078_lig.log	[-0.008282, -1.049562, -0.128848]	3	7	C1CC1[C@H]1COC(C2=N[C@@H](C3CC3)CO2)=N1
079_lig.log	[-0.060958, -0.776716, -0.45841]	3	7	C1CCC([C@H]2COC(C3=N[C@@H](C4CCCCC4)CO3)=N2)CC1
080_lig.log	[0.000186, -1.113603, 5.9e-05]	3	7	c1ccc([C@H]2COC(C3=N[C@@H](c4ccccc4)CO3)=N2)cc1
081_lig.log	[-0.000208, -1.138583, -0.000179]	3	7	c1ccc(C[C@H]2COC(C3=N[C@@H](Cc4ccccc4)CO3)=N2)cc1
082_lig.log	[0.044556, -1.141152, -0.068142]	3	7	COc1ccc(C[C@H]2COC(C3=N[C@@H](Cc4ccc(OC)cc4)CO3)=N2)cc1
083_lig.log	[-5.5e-05, -1.149513, -0.00062]	3	7	Cc1ccc(C[C@H]2COC(C3=N[C@@H](Cc4ccc(C)cc4)CO3)=N2)cc1
084_lig.log	[-0.000288, -1.011098, -0.002158]	3	7	O=[N+]([O-])c1ccc(C[C@H]2COC(C3=N[C@@H](Cc4ccc([N+](=O)[O-])cc4)CO3)=N2)cc1
085_lig.log	[-4.3e-05, -1.372928, 3.7e-05]	3	7	CC(C)(C)Oc1ccc(C[C@H]2COC(C3=N[C@@H](Cc4ccc(OC(C)(C)C)cc4)CO3)=N2)cc1
086_lig.log	[-0.115003, 1.222383, -0.149251]	3	7	COc1ccccc1C[C@H]1COC(C2=N[C@@H](Cc3ccccc3OC)CO2)=N1
087_lig.log	[-0.041184, -1.276034, 0.036766]	3	7	COc1cc(C[C@H]2COC(C3=N[C@@H](Cc4cc(OC)cc(OC)c4)CO3)=N2)cc(OC)c1
088_lig.log	[-0.000326, 0.890272, 0.000514]	3	7	c1ccc2cc(C[C@H]3COC(C4=N[C@@H](Cc5ccc6ccccc6c5)CO4)=N3)ccc2c1
089_lig.log	[-0.201551, 1.193122, -0.277996]	3	7	c1ccc2c(C[C@H]3COC(C4=N[C@@H](Cc5c[nH]c6ccccc56)CO4)=N3)c[nH]c2c1
090_lig.log	[0.163028, 1.215269, 0.241278]	3	7	c1ccc2c(C[C@H]3COC(C4=N[C@@H](Cc5csc6ccccc56)CO4)=N3)csc2c1
091_lig.log	[-0.324976, 1.176583, -0.301568]	3	7	c1ccc(C(c2ccccc2)[C@H]2COC(C3=N[C@@H](C(c4ccccc4)c4ccccc4)CO3)=N2)cc1
092_lig.log	[3.836207, -7e-06, -9e-06]	3	17	CC(C)[C@H]1CN(c2cccc(C(C)(C)C)c2)C(C2=N[C@@H](C(C)C)CN2c2cccc(C(C)(C)C)c2)=N1
093_lig.log	[-2.606221, 7.9e-05, 9e-06]	3	13	CC(C)[C@H]1CN(c2ccccc2)C(C2=N[C@@H](C(C)C)CN2c2ccccc2)=N1
094_lig.log	[-3.887958, 0.127691, 0.016347]	3	17	CC(C)[C@H]1CN(c2cccc(C(F)(F)F)c2)C(C2=N[C@@H](C(C)C)CN2c2cccc(C(F)(F)F)c2)=N1
095_lig.log	[3.864908, 1.4e-05, 9.3e-05]	3	17	CC(C)[C@H]1CN(c2ccc(C(C)(C)C)cc2)C(C2=N[C@@H](C(C)C)CN2c2ccc(C(C)(C)C)cc2)=N1
096_lig.log	[-3.853775, 2e-05, -9.2e-05]	3	17	CC(C)[C@H]1CN(c2ccc(C(F)(F)F)cc2)C(C2=N[C@@H](C(C)C)CN2c2ccc(C(F)(F)F)cc2)=N1
097_lig.log	[0.399399, -1.606382, -0.060776]	3	10	CC(C)[C@H]1CN2CCN3C[C@H](C(C)C)N=C3C2=N1
098_lig.log	[2.130926, 1.519961, -0.362267]	3	12	CC(C)[C@H]1CN2C(=N1)C1=N[C@@H](C(C)C)CN1[C@@H](c1ccccc1)[C@@H]2c1ccccc1
099_lig.log	[0.053805, -1.615583, -0.016185]	3	11	CC(C)[C@H]1CN2CCCN3C[C@H](C(C)C)N=C3C2=N1
100_lig.log	[-1.895937, 0.04652, 0.070689]	3	11	CC(C)[C@H]1CN2CC(C)(C)CN3C[C@H](C(C)C)N=C3C2=N1
