Model,n_terms,R^2,Q^2,adj_score,fin_score
"('bonh5', 'f3chiv', 'nbo-')",3,0.4956311224786445,0.25605500930841896,0.3008927865445098,0.44527070539521507
"('bonh5', 'f3chiv', 'fonhq4')",3,0.4901315931677823,-0.0688668499142,0.2901258282885024,0.4303376273814743
"('bonh5', 'f3chiv', 'foq4')",3,0.4913201743086446,-0.07234492508694612,0.28976834575865484,0.4316822393789129
"('bonh5', 'f3chiv', 'onbo-')",3,0.44847671430270886,0.20394512560409694,0.25368615734411515,0.3919856966116366
"('f3chiv', 'fbonhh3')",2,0.39250450266405357,0.3031309684869964,0.2519167541977252,0.3466163926161717
"('bonh5', 'f3chiv')",2,0.40167149124064916,0.1867456960749625,0.24958798913914815,0.3571231195498834
"('bonh5', 'f3chiv', 'onbo1/2')",3,0.4264493516806722,0.19098971599754944,0.23818034303487845,0.3775980571859334
"('bonh5', 'f3chiv', 'fbonhq2')",3,0.45482412846654985,-0.08544411920845074,0.2355584761810463,0.3918102416575907
"('bonhh6', 'f3chiv')",2,0.0005431375948271588,-0.1725976759005019,0.23437590944602116,0.35273165281633845
"('bonh5', 'f3chiv', 'onbo2')",3,0.42899075506133144,0.1806780547026885,0.2234433421928027,0.3668533454468298
"('bonh5', 'f3chiv', 'fonhh2')",3,0.4400419903621,-0.10501430326315675,0.2224038338926062,0.37474720621433366
"('bonh5', 'f3chiv', 'fonhh5')",3,0.4400419903621,-0.10501430326315675,0.2224038338926062,0.3747472062143339
"('bonh5', 'f3chiv', 'foh2')",3,0.44034608618022963,-0.07422695452707528,0.22231096394831573,0.37512971233359926
"('bonh5', 'f3chiv', 'foh5')",3,0.4403460861802295,-0.0742269545270755,0.22231096394831562,0.3751297123335994
"('bonh5', 'f3chiv', 'nbo1')",3,0.415210995530894,0.18236306048849038,0.21650829627773183,0.3525977281626046
"('bonh5', 'f3chiv', 'f3k')",3,0.4161386830632511,0.2782317536912424,0.2163556774349522,0.3528431424792363
"('bonh5', 'f3chiv', 'f3kb')",3,0.4126571379003223,0.2298121424317855,0.21287685033478865,0.34758525771561244
"('bonh5', 'f3chiv', 'f3kal')",3,0.4109620472399541,0.2296546617299553,0.2128095616067367,0.34592574401761766
"('bonh5', 'f2kal', 'f3chiv')",3,0.44115357134932687,0.2820634687770327,0.2124131691642941,0.3770477485888153
"('bonh5', 'f3chiv', 'f3ka')",3,0.41753419042172,0.22789837012863445,0.21106258977243286,0.3527585388826464
"('bonh5', 'f3chiv', 'onbom')",3,0.4167782514450217,0.17791711766050466,0.2106893702124074,0.35753915861085384
"('bonh5', 'f3chiv', 'onbo+')",3,0.42150224120530155,0.17002009903839477,0.2106893702124074,0.35753915861085384
"('bonh5', 'f3chiv', 'onbo*')",3,0.4224474684539613,0.038833022212384494,0.21037978605678043,0.3574041665558856
"('bonh5', 'f3chiv', 'festrada')",3,0.4149428982451737,0.2621749016174939,0.2078808148388851,0.36009304593608127
"('f3chiv', 'fbonhh3', 'global_eff')",3,0.4331952628665606,0.2928525310075608,0.20584381397332596,0.36570568780445223
"('bonh5', 'f3chiv', 'pb_vol')",3,0.4262043004290802,0.04035106066003824,0.20556742318108934,0.36245765478813285
"('f3chiv', 'fbonhh3', 'fglobal_eff')",3,0.40226985347358146,0.3063928010224465,0.2035225915618084,0.362065735649966
"('bonh5', 'f2kb', 'f3chiv')",3,0.4396176845346865,0.2722392357887675,0.20313124330931032,0.37548661629362534
"('f3chiv', 'fbonhh3', 'pb_vol')",3,0.4203934249894915,0.28639354888600677,0.20202945776850645,0.3529133434106768
"('bonh5', 'f3chiv', 'pb_vol_nh')",3,0.42147288946922146,0.028555676000881824,0.1996054445130636,0.357003853454927
"('f3chiv', 'fbonhh3', 'pb_vol_nh')",3,0.4172210340508512,0.2816403459455926,0.19803860706067744,0.34930535774224303
"('f3chiv', 'fbonhh3', 'nbo1')",3,0.39455209465073715,0.2955543709693452,0.1959114784064877,0.318269069246749
"('f3chiv', 'fbonhh3', 'nbo1/2')",3,0.3954430161460629,0.275480882672443,0.1958914750417159,0.3249173478019093
"('bonh5', 'f2k', 'f3chiv')",3,0.4411330650410663,0.2608426870128727,0.1946765414498105,0.37859863370600366
"('bonh5', 'f3chiv', 'nbo2')",3,0.4068252537015524,0.1784025669183692,0.19323404346024364,0.3389988751694758
"('bonh5', 'f3chiv', 'homo')",3,0.42055651446123044,0.1663379273783694,0.1929092051177015,0.35859890803764227
"('bonh5', 'f2ka', 'f3chiv')",3,0.43533039087290293,0.23294889733677104,0.18752668876286793,0.3709876053670964
"('f3chiv', 'fbonhh3', 'onbo-')",3,0.39473314490076206,0.2796748221731358,0.18684455956439527,0.3221214325920442
"('bonh5', 'f3chiv', 'fbonhq3')",3,0.4207613274432601,0.03635641729206851,0.18562073793728195,0.352800799838646
"('bonh5', 'f3chi', 'f3chiv')",3,0.4052040608456544,0.20938394559398255,0.1848024557494532,0.33715844125403904
"('f3chiv', 'fbonhh3', 'nbo-')",3,0.3975903599016526,0.28311296544536524,0.18423654221915098,0.32517228702387513
"('f3chiv', 'fbonhh3', 'fkier_a')",3,0.3867861279851781,0.28219943247208046,0.18125599844710405,0.3087177176490291
"('f3chiv', 'fbonhh3', 'onbo1/2')",3,0.3925864229846727,0.2859255184005941,0.17806872209824753,0.3169688391445349
"('d3chi', 'fzagreb2', 'onhh3')",3,0.43794056331103914,0.263467112632636,0.17661775366384047,0.3706471324271994
"('f3chiv', 'fbonhh3', 'fbonhq2')",3,0.40116222921880385,0.26463366434487035,0.17627515971880803,0.32976087291839373
"('f3chiv', 'fbonhh3', 'fonhh2')",3,0.3811883098517641,0.2591921705353747,0.17286029536325576,0.3073286137354503
"('f3chiv', 'fbonhh3', 'fonhh5')",3,0.381188309851764,0.2591921705353746,0.17286029536325564,0.3073286137354503
"('f3chiv', 'fbonhh3', 'foh5')",3,0.3812158931639118,0.2583102477823159,0.1716609079686241,0.30727589140004175
"('f3chiv', 'fbonhh3', 'foh2')",3,0.3812158931639118,0.25831024778231626,0.17166090796862388,0.30727589140004163
"('f3chiv', 'fbonhh3', 'fonhq4')",3,0.38701011954471287,0.2576701733394666,0.17133535627540708,0.31394007472393837
"('f3chiv', 'fbonhh3', 't_ova_nh')",3,0.40795885871085735,0.25650391350836466,0.1709690595609541,0.3377232705891051
