Model,n_terms,R^2,Q^2,adj_score,fin_score
"('f2kal', 'fonhh4', 'nbo1')",3,0.8271751135065948,0.7562983151272487,0.7076690406687457,0.7956254680442689
"('f2kal', 'fonhh1', 'nbo1')",3,0.8271751135065948,0.7562983151272487,0.7076690406687451,0.7956254680442688
"('f2kal', 'foh4', 'nbo1')",3,0.8273047837175859,0.7558641117099931,0.707041714270771,0.7957631553014329
"('f2kal', 'foh1', 'nbo1')",3,0.8273047837175861,0.7558641117099938,0.7070417142707706,0.795763155301433
"('bonh5', 'f2k', 'fbonhh4')",3,0.8165827603569213,0.7467279146696293,0.7057202839239576,0.7810982789926353
"('bonh5', 'f2k', 'fbonhh1')",3,0.816582760356921,0.7467279146696292,0.7057202839239571,0.7810982789926351
"('f2kb', 'foh1', 'nbo1')",3,0.8144016950399068,0.7465969391764282,0.7021858382444124,0.7829305124093173
"('f2kb', 'foh4', 'nbo1')",3,0.8144016950399069,0.7465969391764282,0.702185838244412,0.7829305124093175
"('f2kb', 'fonhh1', 'nbo1')",3,0.8138566287190621,0.7459535134105664,0.7019880006148875,0.7823484708512687
"('f2kb', 'fonhh4', 'nbo1')",3,0.8138566287190621,0.7459535134105661,0.7019880006148875,0.7823484708512687
"('angle', 'f2k', 'fonhq3')",3,0.8186054162418415,0.7503954540331181,0.6995541490684031,0.783171435453373
"('angle', 'f2k', 'foq3')",3,0.815654105799454,0.7451908283800163,0.6938130803869332,0.7796335477792682
"('angle', 'f2chi', 'f3chi')",3,0.819964646079475,0.7263514498996978,0.6752715585518834,0.7847365308429957
"('f2kb', 'global_simple', 'nbo*')",3,0.7868570435329669,0.6090283368351881,0.6728775140764227,0.7542172581037213
"('f2kb', 'global_simple', 'nbo+')",3,0.7931381273467956,0.7121212578803979,0.6714176062149158,0.7540025232479353
"('f2kb', 'global_simple', 'nbom')",3,0.7889993406548157,0.6791220358047398,0.671417606214915,0.7540025232479349
"('f2kal', 'f3chiv', 'nbo*')",3,0.8017263280539816,0.49945165636513833,0.6647415024355008,0.7655998530414034
"('angle', 'f2ka', 'fonhq3')",3,0.8026909594260714,0.7250848828326528,0.6646299111694929,0.7642580711195155
"('f1ka', 'f2kal', 'nbo1')",3,0.7913698098712915,0.7071580761494392,0.664614088648988,0.754694590467859
"('bonh5', 'f2kal', 'nbo1')",3,0.7940152702699335,0.6594483720683094,0.6645554801753075,0.7607117703013291
"('f1k', 'f2kal', 'nbo1')",3,0.7854909340191737,0.6680782883097515,0.6641362834911624,0.7489992563381773
"('bonh5', 'f2kb', 'nbo1')",3,0.7898536693453326,0.6360448158135807,0.662746578414133,0.7601988286117815
"('f2kal', 'f3chiv', 'nbo+')",3,0.8014956008954367,0.7056792706344572,0.6624347808324452,0.7638811723627565
"('f2kal', 'f3chiv', 'nbom')",3,0.8005345375230095,0.6965265104284549,0.6624347808324449,0.7638811723627563
"('f1chi', 'f3chi', 'fonhq3')",3,0.8306824138109349,0.7158477691618237,0.6616379296836531,0.796909752144354
"('crest_flex', 'f1chi', 'f3chi')",3,0.8002822464846814,0.5171279275839586,0.6607282427225447,0.7606457723709941
"('bpa', 'fonhq3', 'fzagreb2')",3,0.8117992557687119,0.47649777020087736,0.6603403375313681,0.7757289128835209
"('f1ka', 'f2chi', 'f3chi')",3,0.8062072213293839,0.7162426096963912,0.6603255980828486,0.7674190502848075
"('bonh5', 'f2ka', 'fbonhh4')",3,0.8040349616312785,0.6915125666395328,0.6584522535981483,0.7670916040075786
"('bonh5', 'f2ka', 'fbonhh1')",3,0.8040349616312782,0.6915125666395326,0.6584522535981474,0.7670916040075784
"('f1chi', 'f3chi', 'fbalaban')",3,0.8174239849651794,0.7136845746377154,0.6583946690735778,0.7811267527604125
"('angle', 'f2ka', 'foq3')",3,0.7993640971701635,0.7178710346065391,0.6571417492994968,0.760343533997644
"('0k', 'f2kb', 'nbo1')",3,0.8079932950608428,0.6874597730220484,0.6565625309763543,0.7777053832080766
"('f2chi', 'f3kb', 'nbo1')",3,0.7947514838423848,0.6947114372304968,0.6549050449538332,0.7602555054779091
"('f2chi', 'f3chi', 'nbo1')",3,0.8153864534151287,0.7267428497674533,0.6542661168752467,0.7818032036272031
"('f2kb', 'foh4', 'nbo+')",3,0.7761308633045855,0.6935713981576077,0.6538034542281048,0.7347215562112301
"('f2kb', 'foh1', 'nbo+')",3,0.7761308633045856,0.6935713981576072,0.6538034542281048,0.7347215562112301
"('f2kb', 'foh4', 'nbom')",3,0.7677065018144509,0.6469712498810465,0.6538034542281042,0.7347215562112297
"('f2kb', 'foh1', 'nbom')",3,0.7677065018144498,0.6469712498810462,0.6538034542281042,0.7347215562112297
"('angle', 'f2k', 'fonhh1')",3,0.7823333004950441,0.7048035139893688,0.6537892696432996,0.7402909263597282
"('angle', 'f2k', 'fonhh4')",3,0.7823333004950442,0.7048035139893687,0.6537892696432995,0.740290926359728
"('angle', 'f2k', 'foh1')",3,0.7826100663721743,0.7049645065577399,0.653587245630681,0.7405782115424626
"('angle', 'f2k', 'foh4')",3,0.7826100663721743,0.7049645065577402,0.653587245630681,0.7405782115424626
"('f2kb', 'fonhh4', 'nbo+')",3,0.7758620268176499,0.6931565173974084,0.6535368619491834,0.7344470429689018
"('f2kb', 'fonhh1', 'nbo+')",3,0.7758620268176504,0.6931565173974088,0.653536861949183,0.7344470429689016
"('f2kb', 'fonhh4', 'nbom')",3,0.7673715211391852,0.646174381856633,0.6535368619491828,0.7344470429689016
"('f2kb', 'fonhh1', 'nbom')",3,0.7673715211391849,0.6461743818566339,0.6535368619491826,0.7344470429689014
"('f2kb', 'global_simple', 'nbo1')",3,0.7902980838666791,0.7048287686238985,0.6535054212227422,0.7545305697685443
"('angle', 'f2kb', 'fonhh1')",3,0.7773737935093743,0.7113626335291683,0.6531936654950957,0.7345236874414709
"('angle', 'f2kb', 'fonhh4')",3,0.7773737935093745,0.7113626335291684,0.6531936654950955,0.734523687441471
"('f1chi', 'f3chi')",2,0.7710319413309132,0.6911120228238823,0.653060589985889,0.7424366496835209
"('angle', 'f2kb', 'foh1')",3,0.7774376079769496,0.7112000389672055,0.6527543595738947,0.7345603961877676
"('angle', 'f2kb', 'foh4')",3,0.7774376079769494,0.7112000389672055,0.6527543595738947,0.7345603961877676
"('f2chi', 'f3chi', 'nbo*')",3,0.795994970251086,0.6936870517763699,0.6526941190207727,0.767120843448845
"('f2chi', 'f3chi', 'nbo+')",3,0.8055384524501428,0.7117698283574854,0.6516630260592341,0.7669782274321558
"('f2chi', 'f3chi', 'nbom')",3,0.8019085453597342,0.7042634474824288,0.6516630260592331,0.7669782274321557
"('3kal', 'f2kb', 'nbo*')",3,0.7798117787576109,0.6136411475630673,0.6511641159439777,0.7473465935133562
"('f2kb', 'nbo1', 'oh1')",3,0.8007057034099508,0.7046709880294852,0.6509095139151873,0.7670165983823578
"('f1chi', 'f3chi', 'foq3')",3,0.8264046843120713,0.7062907508215642,0.6502819545959184,0.7917813481872364
"('3kal', 'f2kb', 'nbo+')",3,0.7881162804367111,0.6988461386046121,0.6495124572151483,0.7474361429966023
"('3kal', 'f2kb', 'nbom')",3,0.7833161336375893,0.6694974293726694,0.6495124572151478,0.7474361429966021
"('f0chi', 'fonhq3', 'fzagreb2')",3,0.7980390927241191,0.7006182001052156,0.6491513768889903,0.7598152024843616
"('f1chiv', 'f2k', 'nbo*')",3,0.7939296494653078,0.5260787270658485,0.6484613831382733,0.7684448956840837
"('f2kb', 'na', 'nbo1')",3,0.7890997126310055,0.682202520587949,0.6483295683704182,0.7545592027342339
"('f1k', 'f2chi', 'f3chi')",3,0.8060577383733496,0.7041999495208285,0.6472336648685022,0.7672074463671018
"('angle', 'f1k', 'fzagreb1')",3,0.7984007032731155,0.6377235845360127,0.6470811915365993,0.7657210112193795
"('f2k', 'nbo1', 'oh1')",3,0.7853157554864603,0.6897096870028055,0.6468752244941156,0.7558840136662228
"('0k', 'f2k', 'nbo1')",3,0.793539834254384,0.6696172233878026,0.6465395487629579,0.7670657976507562
"('angle', 'f2chi', 'f3k')",3,0.7987935409004053,0.6987897755124418,0.6455340879723105,0.7596758123436848
"('f2kal', 'global_simple', 'nbo1')",3,0.7979579118916558,0.7018706524613687,0.6440784340319026,0.7609763732302268
"('f1kb', 'f2kal', 'nbo1')",3,0.7742501034174012,0.6577261330709241,0.6438976612201781,0.7383652752992552
"('3kb', 'f2kb', 'nbo*')",3,0.7753556473139056,0.591256978936165,0.643365404523144,0.7417552790322566
"('f1kal', 'fonhq3', 'fzagreb2')",3,0.7979371452387221,0.690472889550199,0.64315749601023,0.7612477116971735
"('3kb', 'f2kb', 'nbo+')",3,0.7835601782050932,0.6914100353419412,0.642106031982137,0.7421515350077481
"('3kb', 'f2kb', 'nbom')",3,0.7788384363817787,0.6606510536716278,0.6421060319821366,0.7421515350077479
"('f1chi', 'f2kal', 'nbo1')",3,0.7749067857366891,0.6737746680294254,0.6420838492588485,0.7373485852290818
"('angle', 'f0chi', 'fzagreb1')",3,0.785070828489241,0.5799314151832393,0.6417460002028099,0.754581822532536
"('f2chi', 'f2kal', 'nbo1')",3,0.7762292643373917,0.6632676103248127,0.6416151022559445,0.7431287760396502
"('2chiv', 'f2kb', 'nbo1')",3,0.7867689308077477,0.6799966770253858,0.6400847526039378,0.7531041593544026
"('f2kb', 'nbo1', 'onh5')",3,0.7945151547482957,0.6875711111652556,0.6397931754629,0.7603705606971981
"('f0k', 'fbonhh4', 'fzagreb1')",3,0.7703786823900454,0.6792505444863866,0.6397048251845912,0.7383923421246916
"('f0k', 'fbonhh1', 'fzagreb1')",3,0.770378682390045,0.6792505444863857,0.6397048251845907,0.7383923421246912
"('f2k', 'nbo1', 'oq4')",3,0.7834854359475805,0.6745945882004167,0.6394061206111382,0.7549622632902421
"('angle', 'f2chi', 'fzagreb2')",3,0.7801830687717372,0.33407996363720804,0.6391166288900795,0.745854328752336
"('bonhh1', 'f0k', 'fzagreb1')",3,0.7761330703518585,0.6872801537198168,0.6390252831164207,0.7342513288760422
"('3kal', 'f2kb', 'nbo1')",3,0.7970152908628614,0.7038686223811508,0.6387550417691951,0.7615287794299973
"('bpa', 'foq3', 'fzagreb2')",3,0.8022712733061645,0.4797988899407667,0.6384961436341083,0.7645069399530493
"('f1ka', 'f2kb', 'f3chi')",3,0.7961597307654862,0.701167556974898,0.6383957992478968,0.755188490078403
"('0k', 'f2kb', 'nbo+')",3,0.8015248969560347,0.673390032197716,0.6381548596090401,0.7658250997084454
"('0k', 'f2kb', 'nbom')",3,0.795388789847538,0.6316781961111223,0.6381548596090392,0.7658250997084453
"('angle', 'f4chi', 'fzagreb1')",3,0.7720098601970635,0.6271354925872639,0.6381310222369324,0.7410719708970224
"('f2kb', 'nbo1', 'o5')",3,0.7960610753089526,0.6839510410851966,0.6378485131564535,0.7622724520467439
"('0k', 'f2kb', 'nbo*')",3,0.790286666949207,0.5712004163048381,0.6376414106142934,0.7654678517310332
"('f2k', 'nbo1', 'onhh1')",3,0.7837871974137076,0.6871568804095609,0.6369262501441122,0.7539814155600526
"('angle', 'f2chi', 'f3kb')",3,0.7976533905346643,0.6931536090948047,0.636499373785569,0.7583316881022617
"('f1chi', 'f2chi', 'f3chi')",3,0.7973084597528266,0.6925408778366486,0.6362277834237673,0.7639535570760649
"('bpa', 'f2kal', 'nbo1')",3,0.7696677856936518,0.6472450023242678,0.6356188209977107,0.7312937747251665
"('f2k', 'na', 'nbo1')",3,0.7702182062954188,0.6530467202809307,0.6354629084138195,0.7406230916271179
"('f2k', 'nbo1', 'onh5')",3,0.7833858638591957,0.6654405775541161,0.6349980393669296,0.7545881501971416
"('f1kb', 'f2chi', 'f3chi')",3,0.8021954597018297,0.693245813610583,0.6349732933943167,0.7625542699006047
"('angle', 'f0k', 'fzagreb1')",3,0.7842004153943851,0.6726713443548433,0.6349318160729878,0.7463637036332798
"('3kb', 'f2kb', 'nbo1')",3,0.7977397587610457,0.7008633994586053,0.6348410269269267,0.7621090313994044
"('f2k', 'nbo1', 'onhq4')",3,0.7831588750506301,0.673453285108629,0.6340246639271909,0.7543739409777068
"('f1k', 'fzagreb1')",2,0.7456420410057557,0.6688690307378562,0.6338576810740831,0.7156741148343271
"('fzagreb1', 'f1k')",2,0.7456420410057547,0.6688690307378562,0.6338576810740831,0.7156741148343269
"('f2k', 'nbo1', 'pb_vol')",3,0.7933048316725024,0.6893080863430934,0.6330917569672725,0.7630955140290241
"('bonh7', 'f0k', 'fzagreb1')",3,0.7935264889077922,0.6786654588468582,0.6326890163764196,0.7540917909967226
"('0k', 'f2kal', 'nbo1')",3,0.8044924967401499,0.5440301378735857,0.6323323143987055,0.7706345138184449
"('f2kb', 'nbo+', 'oh1')",3,0.7751918698347892,0.6735959130140077,0.6321740121925673,0.7338582383029649
"('f2kb', 'nbom', 'oh1')",3,0.7687736284555817,0.6250724019907259,0.6321740121925667,0.7338582383029647
"('f2kb', 'nbo*', 'oh1')",3,0.7633706941790117,0.5530944229218864,0.632153714900956,0.7330937910702953
