Model,n_terms,R^2,Q^2,adj_score,fin_score
"('Tnbo1', 'angle', 'f1kb')",3,0.7619719053211048,0.6959079862908968,0.6614787340737442,0.7344062512262854
"('2chi', 'crest_flex', 'fbonhq2')",3,0.7897488718343979,0.6942886116794544,0.661344456247641,0.7658384073246314
"('2chiv', 'bonh8', 'd3chi')",3,0.7821788564432154,0.6964074055056676,0.6612799984319571,0.757312280531288
"('2chiv', '4chi', 'onh8')",3,0.777159187228647,0.6961973039447826,0.661267402286196,0.7513924080489511
"('f2chi', 'fbonhq2', 'fglobal_eff')",3,0.7610183059916922,0.7065864215487985,0.6612583539927499,0.7350081745262738
"('5chi', 'f2chi', 'fbonhq2')",3,0.7688931852747818,0.6921250767959218,0.6612272448514904,0.7428643079285646
"('2chi', 'd0chi', 'fbonhq1')",3,0.7832293353058365,0.6477967069628194,0.6610347943612136,0.7670771809412136
"('d3chi', 'oq1', 's2chi')",3,0.7877095511468903,0.6921503141064802,0.6609461276093546,0.7639793458672961
"('2chiv', 'bonh8', 'kier_al')",3,0.7789021645891345,0.6946760924336538,0.6609333950525489,0.7540300248327334
"('3kal', 'f2chiv', 'o8')",3,0.7779476592220127,0.622895974266925,0.6608323213487324,0.7536619644886421
"('f2chiv', 'fbonhq2', 'onh4')",3,0.7570236972670589,0.695477905629909,0.6607406591906709,0.7288836337867302
"('f2chi', 'fbonhq2', 'k_xib')",3,0.7603796838488898,0.6928288548004491,0.6607011960139589,0.7333432972721711
"('cnbo-', 'f2chi', 'fbonhq2')",3,0.761611435967092,0.6950427437569097,0.660417903329068,0.7344237526025319
"('cnbo1/2', 'f2chi', 'fbonhq2')",3,0.758654767924931,0.6931792829802702,0.6604063362343887,0.7311333711356716
"('2chi', 'bonh8', 'd0chi')",3,0.7809235929412294,0.6943020781365037,0.6603935648815455,0.7559710248803262
"('f2chi', 'fbonhq2', 'k_xia')",3,0.761387328203607,0.6926561027745244,0.6603411318804379,0.7345594993937974
"('5chi', 'crest_flex', 'fbonhq2')",3,0.7908810547385754,0.6952091235690546,0.6603186322248753,0.7667136987196195
"('f2chiv', 'fbonhq2', 'foh2')",3,0.7641511220659157,0.6957406181344042,0.6602822060308233,0.736707376421348
"('f2chiv', 'fbonhq2', 'foh5')",3,0.7641511220659158,0.6957406181344046,0.6602822060308233,0.7367073764213481
"('f2chi', 'fbonhq2', 'onhh3')",3,0.758640058332948,0.6920209173433021,0.6601631151508135,0.7314315026259213
"('2chiv', 'crest_flex', 'fbonhh1')",3,0.7816118685968161,0.6916035695390572,0.6599116780813112,0.758353913365598
"('2chiv', 'crest_flex', 'fbonhh4')",3,0.7816118685968159,0.6916035695390568,0.6599116780813111,0.758353913365598
"('2chi', 'bonh2', 'd0chi')",3,0.7836772241794081,0.6849094841498089,0.6596952724472798,0.7611374999984264
"('bonhq2', 'd0chi', 'oh5')",3,0.7628321002246192,0.6751441130196363,0.6596907847316459,0.741597745035644
"('f2chi', 'fbonhh1', 'fbonhq3')",3,0.7632798249234005,0.6948748048413504,0.6596096298384724,0.7365050441845367
"('f2chi', 'fbonhh4', 'fbonhq3')",3,0.7632798249234003,0.6948748048413503,0.659609629838472,0.7365050441845364
"('f1kal', 'f2chi', 'fbonhq2')",3,0.764236779662093,0.6888688586465744,0.6595697205625957,0.7378393239709035
"('2chi', 'kier_al', 'or')",3,0.7770178463791608,0.6776096476097707,0.6595591956864705,0.7528681267999187
"('2chiv', 'kier_al', 'o8')",3,0.774091445135653,0.6926428887669134,0.659550834713908,0.7486846262400975
"('bonh8', 'd0chi', 's2chi')",3,0.779951944505034,0.6921113882945265,0.6595272754421351,0.7553938576916621
"('f2chi', 'fbonhq2', 'fbonhq3')",3,0.7633619695828248,0.6955350048083668,0.6594108435499857,0.7364513489986593
"('d3chi', 'onhq1', 's2chi')",3,0.7863366553677626,0.6906470897470198,0.6593803032041394,0.7624777803103518
"('crest_flex', 'fbonhq2', 'oh5')",3,0.7734619214697658,0.6936725945786413,0.6590321585149312,0.7475315081736218
"('f2chi', 'fbonhq2', 'k_xial')",3,0.7581702933899459,0.6911299149715627,0.6589470287536123,0.7308819700436764
"('f2k', 'fbonhq2', 'nbo+')",3,0.7604162792414199,0.6918013302625208,0.6589084108721637,0.7367083819358746
"('f2k', 'fbonhq2', 'nbom')",3,0.7570397177638992,0.6847654745648102,0.658908410872163,0.7367083819358742
"('f2chiv', 'fbonhq2', 'fonhh5')",3,0.7632549234310312,0.694443466517735,0.6588973327063673,0.7357283324031596
"('f2chiv', 'fbonhq2', 'fonhh2')",3,0.7632549234310315,0.6944434665177345,0.6588973327063673,0.7357283324031598
"('f2chi', 'fbonhq2', 'fhosoya')",3,0.7617297154382122,0.6903501145957642,0.6588043289570007,0.7349898221447039
"('f2chi', 'fbonhq2', 'kier_al')",3,0.7597951994967149,0.690344144435201,0.6587546515435032,0.7332358556418697
"('f2chi', 'fbonhq2', 'pb_vol')",3,0.7609696172786437,0.6921579390449617,0.658753259508277,0.7341725635429419
"('f2chi', 'fbonhq2', 'global_eff')",3,0.7617676919677966,0.6922045257402806,0.6587208514224328,0.734853845945326
"('bonh2', 'd0chi', 's2chi')",3,0.7807289726436439,0.6834311376887654,0.6585720538226749,0.758772839887142
"('f2chi', 'fbonhq2', 'foh3')",3,0.7595134800304562,0.6900376543712414,0.6581695333231761,0.7324042474318826
