Model,n_terms,R^2,Q^2,adj_score,fin_score
"('f1chi', 'fbonhq3', 'nbo-')",3,0.7765576350744615,0.6571019917504219,0.6913999232502549,0.7526173780960197
"('f0chi', 'f3chiv', 'onh3')",3,0.7578873384875164,0.6655597813071072,0.6283977905132831,0.730686656732359
"('balaban', 'f3chiv', 'oh2')",3,0.7584456967845102,0.6412589843470766,0.6282502585368948,0.7346405967388137
"('f0chi', 'f3chiv', 'o3')",3,0.757589962036642,0.665099302029261,0.6279593320525542,0.7303534369562465
"('balaban', 'f3chiv', 'onhh2')",3,0.7576194979180222,0.6383685163794008,0.6239550566651129,0.7333057422540894
"('f1k', 'f3chiv', 'o3')",3,0.7447527110455885,0.6607335897672943,0.6195979344497846,0.7162731970916879
"('f0chi', 'fbonhq3', 'nbo-')",3,0.7432782928056937,0.5482446659499807,0.618895601889773,0.7193705712191054
"('f1k', 'f3chiv', 'onh3')",3,0.7426027131003758,0.6579552607993298,0.6164049395881086,0.7138955234936583
"('f1kal', 'f3k', 'fbonhh5')",3,0.7260927432418387,0.6586549602952811,0.6160831210221533,0.6931709166917635
"('f1kal', 'f3k', 'fbonhh2')",3,0.7260927432418389,0.6586549602952811,0.6160831210221533,0.6931709166917635
"('f1kal', 'fbalaban', 'global_simple')",3,0.7472101235251465,0.6371074551320675,0.6154484130481377,0.7197564569843631
"('f1kal', 'fglobal_eff', 'global_simple')",3,0.7364451784622585,0.5329714119607911,0.6124369595675717,0.7146901886835433
"('f1kb', 'f3chiv', 'o3')",3,0.7398279333542958,0.6510369264791751,0.61040082109653,0.7114009053008322
"('f1kb', 'f3chiv', 'onh3')",3,0.7389279818123167,0.649753625365384,0.6087700857241864,0.7103616899897751
"('f1kal', 'f3chiv', 'onh3')",3,0.7399533775837277,0.6474043123303024,0.6069903193267876,0.7116254614656778
"('f1kal', 'f3chiv', 'o3')",3,0.7395561946762257,0.6471447871366593,0.6069816925941062,0.7112602765847434
"('3chiv', 'balaban', 'onh5')",3,0.7414941071235183,0.6444110940108434,0.6050448861519325,0.7114231151391843
"('f1kb', 'fbalaban', 'global_simple')",3,0.744314747965432,0.6295132076277777,0.6023047496257108,0.7164631867200902
"('balaban', 'f3chiv', 'oq1')",3,0.7458663259091793,0.6134092184623636,0.6022868018872751,0.7202025716235788
"('f1kal', 'f3k', 'onh3')",3,0.7298965422462622,0.6386225167758576,0.601223421609823,0.6994536648591765
"('f1kal', 'f3k', 'o3')",3,0.7284897687413783,0.6376361741266804,0.6002710203890125,0.6979998538654728
"('f1ka', 'f3chiv', 'o3')",3,0.7312550819186587,0.6422653723308616,0.6001631866500312,0.701697852446164
"('balaban', 'f3chiv', 'onh3')",3,0.7366745124152214,0.6128085175569855,0.5993810387451077,0.7110300241742884
"('balaban', 'f3chiv', 'o8')",3,0.7423262859555186,0.6074414446822838,0.5993350075496513,0.7167256589816486
"('bpa', 'f3chiv', 'onh3')",3,0.7340436237270462,0.6431798813919622,0.5992749543904521,0.7047798993690885
"('bpa', 'f3chiv', 'o3')",3,0.7328767485713144,0.6418425603343689,0.5980231583847869,0.7035140143745082
"('balaban', 'f3chiv', 'onhq1')",3,0.7438285582969552,0.6098684513298184,0.5976846261018001,0.717778201516637
"('balaban', 'f3chiv', 'onh8')",3,0.7421776584527556,0.6072655504310643,0.5972630428978221,0.716358384788973
"('f1ka', 'f3chiv', 'onh3')",3,0.7290969118083225,0.6396862328510907,0.5971129127943385,0.6993100350029016
"('f1kal', 'global_simple', 'oh2')",3,0.7277316391622897,0.6230104800596001,0.5949516902424641,0.6978561839942281
"('f1kb', 'fglobal_eff', 'global_simple')",3,0.722243103175531,0.5399508532554889,0.593435641576487,0.709057953936704
"('f1kb', 'f3k', 'onh5')",3,0.7429438379884106,0.6351061905717865,0.5927463935238886,0.7124216900955302
"('balaban', 'f3chiv', 'o3')",3,0.7318407439688293,0.5876140676561501,0.592502029262715,0.7060307539332162
"('f1kal', 'f3k', 'foh5')",3,0.7258737085508957,0.6360730310577641,0.5921147743525077,0.6933945505245545
"('f1kal', 'f3k', 'foh2')",3,0.725873708550896,0.6360730310577638,0.5921147743525075,0.6933945505245547
"('f1kal', 'f3k', 'onh4')",3,0.7269456436831641,0.6331499277208088,0.591774056482711,0.6943624558028954
"('f1kb', 'f3k', 'fbonhh2')",3,0.7219484577488494,0.6375610173917121,0.5913889233527403,0.6884957605725599
"('f1kb', 'f3k', 'fbonhh5')",3,0.7219484577488495,0.637561017391712,0.5913889233527401,0.6884957605725598
"('f1chiv', 'f1kb', 'f3ka')",3,0.7382056248031243,0.6341252795023244,0.5909009916368602,0.7065677150441996
"('angle', 'fbonhq3', 'nbo-')",3,0.7317815438841105,0.5248446157947366,0.5906995436835589,0.7062715080580924
"('f1kb', 'f3k', 'o3')",3,0.7342307482996915,0.6300287577257739,0.5906149809009897,0.7041288314189706
"('f1kb', 'global_simple', 'oh2')",3,0.7268063258382351,0.6195123765715749,0.5903642210454056,0.6968922689874704
"('Tenbo1', 'f1kal', 'global_simple')",3,0.7314162653217954,0.6225249386863114,0.590357389079943,0.7022644251236942
"('Tenbo2', 'f1kal', 'global_simple')",3,0.7314162653217953,0.6225249386863108,0.5903573890799427,0.7022644251236938
"('f1kal', 'f3ka', 'fbonhh2')",3,0.7040294480517506,0.635555452279923,0.5902567199447826,0.6684902591394459
"('f1kal', 'f3ka', 'fbonhh5')",3,0.7040294480517506,0.6355554522799225,0.5902567199447826,0.6684902591394457
"('f1kal', 'f3k', 'fonhh5')",3,0.7238581661528705,0.6339488944807508,0.5898766719039226,0.6911423599846149
"('f1kal', 'f3k', 'fonhh2')",3,0.7238581661528702,0.6339488944807508,0.5898766719039223,0.6911423599846149
"('f1kb', 'f3k', 'onh4')",3,0.7329374685524328,0.6320988711657081,0.5896462703202758,0.7010195526054845
"('f1kb', 'f3k', 'onh3')",3,0.7338227292087008,0.5787586538810485,0.5893403928454918,0.7035994298854215
"('Tenbo1', 'f1kal', 'pb_vol')",3,0.7304982472207999,0.6338833461822164,0.588835869427639,0.6987449332369944
"('Tenbo2', 'f1kal', 'pb_vol')",3,0.7304982472207987,0.6338833461822158,0.5888358694276385,0.6987449332369939
"('f1kb', 'f3ka', 'onh4')",3,0.7268604628168897,0.6310290293497489,0.5883677108623473,0.6942429762400101
"('f1kal', 'f3k', 'o4')",3,0.725181608389772,0.6286067484172837,0.587060086855454,0.692394469663727
"('f1kb', 'f3k', 'o4')",3,0.7322736806815693,0.6294642379294528,0.5869982527539563,0.7002823489075939
"('Tenbo1', 'f1kb', 'pb_vol')",3,0.7248815227516502,0.6316907099813307,0.5864029677395832,0.6924609314819357
"('Tenbo2', 'f1kb', 'pb_vol')",3,0.7248815227516496,0.6316907099813301,0.5864029677395821,0.6924609314819352
"('f1kb', 'f3ka', 'o4')",3,0.7264044637375666,0.6288100110203898,0.5862158515885161,0.6937393541391157
"('f1kb', 'f3k', 'o5')",3,0.7384810604669301,0.6288367875606548,0.5855402691703563,0.7073833926877912
"('balaban', 'f3chiv', 'o7')",3,0.727339077624212,0.588674697146883,0.5847645112230604,0.7010764620769756
"('f1kal', 'global_simple', 'onhh2')",3,0.7201007921863043,0.6146131173836057,0.5837199287663655,0.6889357339941414
"('f1kb', 'f3ka', 'fbonhh2')",3,0.7118378029349468,0.6300812287666993,0.5829939510047053,0.6771969955509242
"('f1kb', 'f3ka', 'fbonhh5')",3,0.7118378029349466,0.6300812287666995,0.5829939510047047,0.6771969955509242
"('Tenbo1', 'f1k', 'pb_vol')",3,0.7177363425075395,0.6273105749738843,0.5821730025809512,0.6846181434452627
"('Tenbo2', 'f1k', 'pb_vol')",3,0.7177363425075391,0.6273105749738846,0.5821730025809504,0.6846181434452621
"('Tenbo1', 'f1kb', 'global_simple')",3,0.7284486352992783,0.6141026800793423,0.58215053407664,0.6991371043663006
"('Tenbo2', 'f1kb', 'global_simple')",3,0.7284486352992772,0.614102680079341,0.5821505340766393,0.6991371043663002
"('f0k', 'f1kal', 'f3k')",3,0.7222886370513995,0.626098440340993,0.5820494255780095,0.6887859960102045
"('Tenbo1', 'balaban', 'f3chiv')",3,0.7089836007025,0.5827980290929999,0.5815178434244169,0.7059888926931623
"('Tenbo2', 'balaban', 'f3chiv')",3,0.7089836007025007,0.5827980290929988,0.5815178434244164,0.7059888926931619
"('f1kal', 'f3k', 'fbonhq3')",3,0.7317876683631742,0.6271722260199282,0.5806773885809802,0.6988326916385063
"('bonh1', 'f1kal', 'f3k')",3,0.7025430536103648,0.6276163117166915,0.5806295462754838,0.6671709949149398
"('f1kal', 'global_simple', 'nb')",3,0.7211874659853005,0.6096192031371199,0.5801447874025365,0.6916785217788374
"('f1kal', 'global_simple', 'na')",3,0.7195416697876333,0.6029845367338125,0.5800182448174875,0.6913271764578293
"('Tenbo1', 'kier_a', 'kier_b')",3,0.7093498651179015,0.6228403045947374,0.5797084631400087,0.6748357648640066
"('Tenbo2', 'kier_a', 'kier_b')",3,0.7093498651179011,0.6228403045947366,0.5797084631400073,0.674835764864006
"('d2chi', 'f1kb', 'f3ka')",3,0.7243950356422755,0.621138855034872,0.5796618796636063,0.6918437134634798
"('3chiv', 'f1kal', 'global_simple')",3,0.729531593304427,0.6166435017019838,0.5796373218646076,0.6990012534322728
"('f1kb', 'global_simple', 'onhh2')",3,0.7195600924527334,0.6113771385831561,0.57924091160293,0.6883898702281983
"('balaban', 'f3chiv', 'nb')",3,0.7251841550259486,0.58077568584882,0.5791329571139381,0.6993638434281755
"('balaban', 'f3chiv', 'fglobal_eff')",3,0.7106824558416831,0.5792660507597057,0.5790353882841774,0.7001924685704366
"('f1kal', 'global_eff', 'global_simple')",3,0.7301460104363893,0.6206812941007747,0.5790335587230683,0.6986289337530545
"('balaban', 'f3chiv', 'na')",3,0.7244571294319625,0.5819299318150242,0.5789319372097818,0.698391131164071
"('f1kal', 'f3k', 'foq2')",3,0.7202893397467178,0.6240984315758611,0.5787933850875415,0.6869468636970901
"('f1kal', 'f3k')",2,0.6810824774990978,0.6083843272254028,0.5784832641102902,0.6566256061461812
"('f3k', 'f1kal')",2,0.6810824774990976,0.6083843272254035,0.5784832641102902,0.656625606146181
"('f1kb', 'global_simple', 'na')",3,0.7196902788085485,0.5989088406169538,0.5771989044401662,0.6916019470859993
"('f1kb', 'f3ka', 'fkier_b')",3,0.7244258605322302,0.6238950758361159,0.5770900476753853,0.690544734995558
"('balaban', 'f3chiv', 'onh7')",3,0.7232907834687037,0.5824509314025138,0.5768768634048251,0.6962779188109893
"('f1kal', 'f3k', 'foq3')",3,0.717469375037718,0.62188918933733,0.5766672227441931,0.6838522248603243
"('f1kb', 'global_simple', 'nb')",3,0.7210708809406745,0.6056013690007882,0.5766615944672351,0.6916419287984004
"('f1kb', 'f3k', 'fbonhq3')",3,0.7358686596721176,0.6237148390218198,0.5763450432767563,0.703431354213436
"('f1kb', 'fzagreb2', 'global_simple')",3,0.7243026208431067,0.6127204571112357,0.5761963835270252,0.692456323658156
"('f0k', 'f1kal', 'f3ka')",3,0.7183433892250851,0.6208411302781036,0.5760500102440714,0.6843342633698022
"('d1chi', 'f1kb', 'f3ka')",3,0.7226370639177744,0.6161500935179081,0.5759676779318934,0.6901727534364971
"('f1kb', 'f3ka', 'fbonhq3')",3,0.7313691107156266,0.6221365610103895,0.5751372453492787,0.6984385433512825
"('f1k', 'f3chiv', 'global_simple')",3,0.742760679251905,0.613868018955571,0.5744643660269041,0.7132570695509083
"('f1kal', 'f3k', 'fonhq2')",3,0.7176154796788257,0.6201033409462292,0.5744217717177134,0.6839561969667317
